url_length,has_ip,subdomain_count,dot_count,hyphen_count,at_symbol,double_slash_redirecting,prefix_suffix,shortening_service,suspicious_tld,digit_count,letter_count,special_char_count,entropy,has_https,domain_age_days,has_dns_record,num_external_links,num_internal_links,has_form,num_scripts,num_iframes,has_login_form,suspicious_keywords_count,label
37,0,1,3,0,0,0,0,0,0,0,30,7,3.787042812031905,0,-1,1,0,0,0,1,0,0,0,0
77,0,0,1,0,0,0,0,0,0,17,53,7,4.419864470453802,0,-1,1,0,0,0,0,0,0,0,1
126,0,3,4,1,0,0,0,0,0,19,88,19,4.753412094896157,1,-1,1,0,0,0,0,0,0,0,1
18,0,0,2,0,0,0,0,0,0,0,13,5,3.461320140211008,0,-1,1,24,25,1,26,0,0,4,0
55,0,1,2,2,0,0,0,0,0,0,45,10,4.097662278358699,0,-1,1,0,0,0,0,0,0,0,0
32,0,2,3,1,0,0,1,0,0,0,24,8,3.6665301730294653,0,-1,0,0,0,0,0,0,0,0,1
19,0,1,2,0,0,0,0,0,0,0,14,5,3.260828171224455,0,-1,1,18,3,1,19,0,0,1,0
81,0,1,2,0,0,0,0,0,0,21,52,8,4.771112319170577,0,-1,1,0,0,0,0,0,0,0,1
42,0,1,2,0,0,0,0,1,0,0,36,6,4.195539744052798,0,-1,1,73,39,0,10,0,0,0,0
104,0,0,1,10,0,0,0,0,0,8,78,18,4.481455590414628,1,-1,1,0,0,0,0,0,0,0,0
56,0,1,3,0,0,0,0,0,0,0,47,9,4.344566583470219,1,-1,1,1,9,0,7,0,0,0,0
43,0,1,2,3,0,0,0,0,0,8,26,9,4.286275219617123,1,-1,1,0,0,0,0,0,0,0,0
83,0,0,1,9,0,0,0,0,0,1,67,15,4.281211648465453,1,-1,1,65,76,1,25,2,0,3,0
31,0,0,2,0,0,0,0,0,0,2,23,6,3.8488846166291193,0,-1,1,0,0,0,0,0,0,0,1
25,0,1,2,0,0,0,0,0,0,0,19,6,3.7532696895151076,1,-1,1,0,0,0,0,0,0,0,0
51,0,1,3,0,0,0,0,0,0,1,40,10,4.444401999165797,0,-1,1,0,0,0,0,0,0,0,1
31,0,1,2,0,0,0,0,1,0,0,25,6,3.7843684875968617,1,-1,1,15,0,1,14,1,0,6,0
50,0,1,2,0,0,0,0,0,0,3,39,8,4.174177320667443,0,-1,0,0,0,0,0,0,0,0,1
34,0,1,2,0,0,0,0,0,0,0,27,7,4.0796786498829745,0,-1,1,0,0,0,0,0,0,0,1
27,0,1,2,0,0,0,0,0,0,4,17,6,4.032303242743954,0,-1,1,5,0,0,3,0,0,1,0
63,0,1,3,2,0,0,0,0,0,0,50,13,4.075590044566195,0,-1,1,23,0,1,44,1,0,6,0
66,0,1,2,4,0,0,0,1,0,0,55,11,4.2980550138102505,1,-1,1,177,29,1,45,0,0,6,0
40,0,0,2,0,0,0,0,0,0,4,28,8,4.393942707918268,0,-1,1,0,0,0,0,0,0,0,1
48,0,0,1,3,0,0,1,0,0,0,39,9,4.1551876989901,0,-1,1,0,0,0,0,0,0,0,0
126,0,3,4,1,0,0,0,0,0,12,96,18,4.710764845058316,0,-1,1,0,0,0,0,0,0,0,1
41,0,1,2,0,0,0,0,1,0,0,35,6,4.064392248309453,1,-1,1,4,1,1,5,0,0,4,1
36,0,1,2,0,0,0,0,0,0,0,30,6,4.141604167868593,1,-1,1,36,0,0,63,0,0,0,0
72,0,1,2,7,0,0,1,0,0,0,57,15,4.187132212342207,0,-1,1,0,0,0,0,0,0,0,0
68,0,3,4,0,0,0,0,0,0,11,48,9,4.552115370751692,0,-1,1,0,0,0,0,0,0,0,1
163,0,1,4,9,1,0,0,0,0,65,75,23,4.803363778168904,0,-1,1,0,0,0,0,0,0,0,1
26,0,1,2,0,0,0,0,0,0,0,20,6,3.921029621737614,0,-1,1,4,13,1,0,0,1,6,0
64,0,1,2,0,0,0,0,0,0,22,35,7,4.591578664259099,0,-1,1,0,0,0,0,0,0,0,1
36,0,3,4,0,0,0,0,1,0,9,19,8,4.239097917988785,0,-1,1,0,0,0,0,0,0,0,1
61,0,0,2,0,0,0,0,1,0,0,51,10,4.0864177725789865,0,-1,1,0,0,0,0,0,0,0,1
66,0,1,2,0,0,0,0,0,0,14,43,9,4.951379490761219,1,-1,1,25,0,1,10,0,0,0,0
35,0,1,2,0,0,0,0,0,0,0,29,6,4.068728288980287,1,-1,1,6,30,0,42,1,0,0,0
113,0,0,5,0,0,0,0,0,0,0,94,19,4.421436190177326,0,-1,0,0,0,0,0,0,0,0,1
41,0,1,2,4,0,0,0,0,0,0,32,9,3.6468455293152156,0,-1,1,26,27,1,18,3,0,0,0
23,0,1,2,1,0,0,1,0,0,0,16,7,3.6424896731661267,0,-1,1,0,0,0,0,0,0,0,0
31,0,1,2,1,0,0,0,0,0,0,25,6,4.039211536948156,0,-1,1,61,0,0,30,0,0,0,0
84,0,0,2,2,0,0,0,0,0,0,72,12,4.23580353402117,0,-1,1,0,0,0,0,0,0,0,1
29,0,1,2,0,0,0,0,0,0,0,23,6,4.0472990984266435,0,-1,1,0,0,0,0,0,0,0,1
98,0,1,2,2,0,0,1,0,0,29,55,14,4.825204589986269,0,-1,1,7,0,1,12,0,0,0,1
15,0,0,1,0,0,0,0,0,0,0,11,4,3.189898095464287,0,-1,1,0,7,1,16,0,0,0,0
65,0,1,2,0,0,0,0,0,0,0,54,11,4.308766613255314,0,-1,1,28,2,1,4,0,0,5,0
131,0,1,2,1,0,0,0,1,0,4,108,19,5.242899292283031,1,-1,1,0,0,1,34,0,0,0,1
50,0,1,2,1,0,0,1,0,0,0,42,8,4.191272380112911,1,-1,1,12,2,1,25,2,0,3,0
51,0,1,2,0,0,0,0,0,0,0,44,7,4.287539254067758,0,-1,0,0,0,0,0,0,0,0,1
45,0,1,3,0,0,0,0,0,0,6,30,9,4.322315530038771,1,-1,1,29,7,1,10,0,0,3,0
159,0,0,2,0,0,0,0,0,0,43,100,16,4.917410844470601,0,-1,1,0,0,0,0,0,0,0,1
44,0,1,2,1,0,0,0,0,0,10,26,8,4.618078209349709,1,-1,1,0,0,0,11,0,0,6,1
103,0,1,3,1,1,0,0,0,0,8,83,12,5.208074012864434,1,-1,0,0,0,0,0,0,0,0,1
46,0,2,4,0,0,0,0,0,0,0,36,10,4.013041446157795,0,-1,1,0,0,0,0,0,0,0,1
45,0,1,2,0,0,0,0,0,0,0,37,8,4.143607886039516,1,-1,1,0,0,0,0,0,0,0,0
51,0,1,3,0,0,0,0,0,0,0,42,9,4.0322539597804266,0,-1,1,0,0,0,0,0,0,0,1
38,0,1,3,0,0,0,0,0,0,0,30,8,3.893086896197163,0,-1,0,0,0,0,0,0,0,0,1
81,0,1,2,0,0,0,0,0,0,23,50,8,4.774811040285755,0,-1,1,0,0,0,0,0,0,0,1
112,0,1,2,10,0,0,0,1,0,0,95,17,4.309917821209997,0,-1,1,103,0,1,24,2,0,2,0
39,0,1,2,0,0,0,0,0,0,0,32,7,3.9233659245349726,1,-1,1,4,0,1,6,0,1,3,1
99,0,1,2,2,0,0,0,0,0,8,77,14,5.234860534743135,1,-1,1,0,0,0,0,0,0,0,1
45,0,1,2,1,0,0,0,0,0,0,38,7,4.224751985026256,1,-1,1,0,0,0,0,0,0,0,0
60,0,3,5,1,0,0,0,1,0,2,47,11,4.129085753935211,0,-1,1,0,0,0,0,0,0,0,1
74,0,1,3,0,0,0,0,0,0,6,51,17,4.635081832331412,0,-1,1,0,0,0,0,0,0,0,0
61,0,1,3,3,0,0,1,0,0,0,50,11,4.079332469209647,0,-1,1,4,19,1,6,0,0,0,0
40,0,3,4,0,0,0,0,1,0,5,28,7,4.215311532225101,1,-1,1,0,0,0,0,0,0,0,1
52,0,1,3,0,0,0,0,0,0,2,42,8,4.378727103656465,0,-1,0,0,0,0,0,0,0,0,1
88,0,2,7,1,1,0,0,1,0,0,73,15,4.325560813820691,1,-1,1,4,0,1,6,0,1,3,1
74,0,0,2,0,0,0,0,0,0,2,62,10,4.18588130783542,0,-1,1,1,2,0,12,0,0,1,0
46,0,1,2,1,0,0,0,0,0,3,34,9,4.468576629687865,0,-1,1,32,160,1,142,0,0,2,0
54,0,1,3,0,0,0,0,0,0,0,46,8,4.367964298652708,0,-1,1,0,0,0,0,0,0,0,0
54,0,0,1,1,0,0,1,0,0,0,45,9,4.233795548692773,0,-1,0,0,0,0,0,0,0,0,1
38,0,1,2,0,0,0,0,0,0,0,30,8,4.238334671954105,1,-1,1,0,0,0,0,0,0,0,0
67,0,1,2,3,0,0,0,0,0,0,56,11,4.361417557494121,0,-1,1,14,0,1,47,0,0,1,0
62,0,0,5,1,0,0,0,0,0,0,48,14,4.350294142705842,0,-1,0,0,0,0,0,0,0,0,1
59,0,0,3,0,0,0,0,0,0,4,45,10,4.342507092741192,0,-1,1,0,0,0,0,0,0,0,1
57,0,2,4,0,0,0,0,0,0,1,48,8,4.166333549959635,1,-1,1,0,0,0,0,0,0,0,1
32,0,0,1,1,0,0,0,0,0,0,25,7,3.9292292966721747,0,-1,1,2,123,1,13,1,0,0,0
46,0,1,2,0,0,0,0,0,0,0,38,8,3.9610771086455516,0,-1,0,0,0,0,0,0,0,0,1
37,0,1,2,0,0,0,0,0,0,0,30,7,4.003259028248121,1,-1,1,0,0,0,0,0,0,0,0
36,0,1,2,0,0,0,0,1,0,1,30,5,4.062305474194334,0,-1,1,6,0,1,7,0,0,0,1
52,0,0,2,0,0,0,0,0,0,2,40,10,4.187535209236147,0,-1,1,0,0,0,0,0,0,0,1
32,0,1,2,0,0,0,0,1,0,8,18,6,3.8431390622295662,0,-1,1,0,0,0,0,0,0,0,1
34,0,0,1,0,0,0,0,0,0,0,29,5,3.836600340868551,1,-1,1,4,2,1,10,0,0,0,0
27,0,1,3,0,0,0,0,0,0,0,20,7,3.6241717609419575,0,-1,1,0,0,0,0,0,0,0,0
92,0,0,2,1,0,0,0,0,0,28,52,12,4.706166744360949,0,-1,0,0,0,0,0,0,0,0,1
102,0,1,2,7,0,0,0,0,0,6,79,17,4.821601779987788,0,-1,1,0,1,0,40,1,0,0,0
32,0,1,2,0,0,0,0,0,0,0,26,6,4.007048827786958,1,-1,1,2,1122,1,12,0,0,38,0
