url_length,has_ip,subdomain_count,dot_count,hyphen_count,at_symbol,double_slash_redirecting,prefix_suffix,shortening_service,suspicious_tld,digit_count,letter_count,special_char_count,entropy,has_https,domain_age_days,has_dns_record,num_external_links,num_internal_links,has_form,num_scripts,num_iframes,has_login_form,suspicious_keywords_count,label
42,0,1,2,1,0,0,0,0,0,4,31,7,4.168886994558424,0,-1,0,0,0,0,0,0,0,0,1
46,0,1,4,0,0,0,0,0,0,1,35,10,4.412270315214323,0,-1,0,0,0,0,0,0,0,0,1
58,0,1,2,2,0,0,0,0,0,0,49,9,4.143185962258587,0,-1,0,0,0,0,0,0,0,0,0
52,0,1,2,1,0,0,0,0,0,3,41,8,4.079965439170122,0,-1,1,0,0,0,0,0,0,0,1
30,0,1,2,0,0,0,0,0,0,0,24,6,3.8565647621309544,1,-1,1,378,0,1,71,1,0,0,0
98,0,1,2,2,0,0,1,0,0,25,59,14,4.870759625156781,0,-1,0,0,0,0,0,0,0,0,1
24,0,1,2,0,0,0,0,0,0,0,18,6,3.9387218755408675,1,-1,0,0,0,0,0,0,0,0,0
43,0,1,2,0,0,0,0,0,0,0,37,6,4.080350731889837,1,-1,1,0,0,0,0,0,0,0,0
66,0,1,4,1,1,0,0,0,0,0,53,13,4.412718597059803,0,-1,0,0,0,0,0,0,0,0,1
83,0,0,1,4,0,0,0,0,0,34,37,12,4.71254019135437,0,-1,0,0,0,0,0,0,0,0,1
106,0,2,5,0,0,0,0,0,0,7,83,16,5.141005365803153,0,-1,0,0,0,0,0,0,0,0,1
36,0,1,2,0,0,0,0,0,0,0,30,6,4.078696876021637,1,-1,0,0,0,0,0,0,0,0,0
65,0,1,3,2,0,0,0,0,0,5,48,12,4.504394113022326,0,-1,0,0,0,0,0,0,0,0,1
60,0,1,2,2,0,0,1,0,0,10,40,10,4.690328621280336,0,-1,0,0,0,0,0,0,0,0,1
47,0,3,5,0,0,0,0,1,0,10,28,9,4.20599144773606,0,-1,0,0,0,0,0,0,0,0,1
112,0,1,2,10,0,0,0,1,0,0,95,17,4.309917821209997,0,-1,1,106,0,1,25,2,0,3,0
44,0,0,3,0,0,0,0,0,0,0,36,8,3.9696844590546907,0,-1,0,0,0,0,0,0,0,0,0
66,0,1,2,1,0,0,1,0,0,7,50,9,4.786913536635867,1,-1,1,3,67,1,72,0,0,0,0
50,0,1,2,0,0,0,0,0,0,0,40,10,4.201076880026371,1,-1,0,0,0,0,0,0,0,0,0
28,0,1,2,0,0,0,0,0,0,0,23,5,3.9677201004745,1,-1,1,2,78,0,25,0,0,0,0
84,0,0,2,2,0,0,0,0,0,0,72,12,4.23580353402117,0,-1,1,0,0,0,0,0,0,0,1
41,0,1,2,0,0,0,0,0,0,0,33,8,4.277926089825635,1,-1,0,0,0,0,0,0,0,0,0
85,0,2,4,0,0,0,0,0,0,31,45,9,4.759826237213414,0,-1,0,0,0,0,0,0,0,0,1
126,0,3,4,1,0,0,0,0,0,16,91,19,4.721517202882966,1,-1,0,0,0,0,0,0,0,0,1
22,0,1,2,0,0,0,0,0,0,0,16,6,3.7544418457133446,0,-1,1,4,0,0,12,1,0,0,0
29,0,0,2,0,0,0,0,0,0,0,23,6,3.9523029776623866,0,-1,0,0,0,0,0,0,0,0,1
42,0,1,2,2,0,0,0,0,0,5,29,8,4.214128292889141,0,-1,1,0,0,0,0,0,0,0,1
27,0,1,2,1,0,0,0,0,0,1,19,7,3.90231157591703,1,-1,0,0,0,0,0,0,0,0,1
92,0,0,1,2,0,0,1,0,0,28,52,12,4.823803299046739,0,-1,0,0,0,0,0,0,0,0,1
25,0,1,2,0,0,0,0,0,0,0,19,6,3.943465189601646,1,-1,1,6,12,0,2,0,0,0,0
19,0,0,1,0,0,0,0,0,0,0,15,4,3.2608281712244547,0,-1,1,0,1,0,0,0,0,1,0
57,0,1,3,0,0,0,0,0,0,0,48,9,4.1835344270007955,0,-1,0,0,0,0,0,0,0,0,0
68,0,1,3,0,0,0,0,0,0,4,52,12,4.324410319937514,0,-1,0,0,0,0,0,0,0,0,0
34,0,1,2,2,0,0,0,0,0,0,26,8,4.0796786498829745,0,-1,0,0,0,0,0,0,0,0,0
74,0,1,2,4,0,0,0,0,0,7,56,11,4.355959912979334,0,-1,1,0,0,0,0,0,0,0,0
54,0,1,3,4,0,0,0,0,0,0,43,11,4.092876280647646,0,-1,1,19,0,1,10,0,0,2,0
29,0,1,2,0,0,0,0,0,0,0,23,6,3.6673146153696132,1,-1,0,0,0,0,0,0,0,0,0
213,0,1,3,1,0,0,1,0,0,92,102,19,4.785777155259652,0,-1,0,0,0,0,0,0,0,0,1
37,0,1,2,0,0,0,0,0,0,0,31,6,4.060012149061902,1,-1,0,0,0,0,0,0,0,0,0
54,0,2,3,0,0,0,0,0,0,0,45,9,4.120835077024071,1,-1,1,19,26,0,23,1,0,2,0
53,0,1,2,0,0,0,0,0,0,4,40,9,4.284458313732673,0,-1,0,0,0,0,0,0,0,0,1
53,0,1,2,0,0,0,0,0,0,0,44,9,4.359442624129597,0,-1,0,0,0,0,0,0,0,0,0
55,0,1,2,1,0,0,0,0,0,10,36,9,4.474554204780527,0,-1,0,0,0,0,0,0,0,0,1
38,0,1,2,0,0,0,0,0,0,0,32,6,3.865576855207248,0,-1,1,7,37,0,36,1,0,0,0
31,0,1,2,0,0,0,0,0,0,0,25,6,3.6955011488173946,1,-1,0,0,0,0,0,0,0,0,0
57,0,0,3,1,0,0,0,0,0,2,44,11,4.463782996317235,0,-1,0,0,0,0,0,0,0,0,1
35,0,1,2,0,0,0,0,0,0,0,27,8,3.8401568604088587,1,-1,1,3,448,1,15,1,1,4,0
34,0,1,2,0,0,0,0,0,0,0,28,6,3.8558656947524796,0,-1,0,0,0,0,0,0,0,0,0
56,0,3,5,2,0,0,0,1,0,1,44,11,4.202917932201099,0,-1,1,0,0,0,0,0,0,0,1
30,0,1,2,0,0,0,0,0,0,0,24,6,4.0062389286533895,1,-1,0,0,0,0,0,0,0,0,0
89,0,1,2,7,0,0,0,0,0,5,69,15,4.351119106382481,1,-1,0,0,0,0,0,0,0,0,0
51,0,1,2,0,0,0,0,0,0,0,42,9,4.355537901604238,0,-1,0,0,0,0,0,0,0,0,0
54,0,1,3,0,0,0,0,0,0,0,43,11,4.16510099416413,1,-1,0,0,0,0,0,0,0,0,1
110,0,1,3,7,0,0,0,0,0,15,78,17,4.624321274270012,0,-1,1,7,0,1,21,0,1,4,0
20,0,1,2,0,0,0,0,0,0,0,14,6,3.546439344671015,0,-1,1,0,0,0,18,0,0,0,0
47,0,1,3,0,0,0,0,0,0,0,38,9,3.967283342440876,1,-1,0,0,0,0,0,0,0,0,0
57,0,1,3,0,0,0,0,0,0,6,42,9,4.687552952495541,0,-1,1,0,0,0,0,0,0,0,0
83,0,1,2,0,0,0,0,0,0,7,64,12,5.094549371859049,1,-1,1,0,1,0,26,0,0,0,1
22,0,1,2,0,0,0,0,0,0,0,16,6,3.7544418457133446,0,-1,0,0,0,0,0,0,0,0,0
27,0,0,1,0,0,0,0,0,0,3,18,6,3.9861879650463043,1,-1,0,0,0,0,0,0,0,0,0
46,0,1,3,0,0,0,0,0,0,0,38,8,4.224117662343593,0,-1,0,0,0,0,0,0,0,0,1
41,0,1,2,0,0,0,0,1,0,0,36,5,4.198777004512548,0,-1,0,0,0,0,0,0,0,0,0
83,0,1,3,4,0,0,0,0,0,12,58,13,4.497853137698438,1,-1,0,0,0,0,0,0,0,0,0
77,0,0,1,0,0,0,0,0,0,16,54,7,4.593175872634925,0,-1,1,0,0,0,0,0,0,0,1
26,0,0,1,0,0,0,0,0,0,3,18,5,4.103909910282363,1,-1,0,0,0,0,0,0,0,0,1
